userId,nickname,gender,age,birthday,viptype,level,sign,eventCount,followsCount,province,city,listenSongs
1377269615,恶-Demons-魔,1,21,2000-09-25,0,7,这个城市的风很大 孤独的人总是晚回家,7,26,410000,411600,1269
9222953,木达瓦二世,1,0,2040-01-01,11,10,如果有天我失忆了 你们记得帮我找回来 ,935,10,0,100,25002
602103337,2457891,1,0,2040-01-01,0,5,,0,3,370000,370200,298
494472180,Twiiiloe,1,0,2040-01-01,11,8,,4,50,0,100,5969
509623586,极品面包,1,0,2040-01-01,0,7,,0,6,220000,220100,1305
90402559,我记得你去年秋天,2,24,1997-10-04,0,8,,15,48,320000,320100,3025
622005593,水原仟鶴,1,0,2040-01-01,11,8,   ,0,389,0,100,5614
36404854,用户36404854,1,1,2020-03-01,10,8,只有音乐会和我不离不弃 ,2,16,1000000,1010000,7461
77511630,嘟嘟伦i,1,28,1993-01-28,11,9,只有音乐最安全 ,0,1,130000,130400,12474
131311614,CarBo丶,0,19,2002-08-19,0,7,Heal the world to make a better place ,0,12,370000,370100,2279
334147136,Narrowme,1,0,2040-01-01,0,7,,0,7,360000,360700,2467
378579748,驮住了无数次日落,2,0,2040-01-01,0,7,相看两不厌 只有敬亭山,1,176,0,100,2584
396298428,尊尼获加l,1,0,2040-01-01,0,9,Petals,0,6,360000,360900,8150
598902776,精苏稽,1,0,2040-01-01,11,6,,3,6,610000,610100,770
1333280629,Mitsuki巳月,2,16,2005-03-28,0,5,我是大蛇丸的人造人巳月 正在寻找我的太阳  漩涡博人 ,0,7,110000,110101,302
292371025,你好我叫凯瑞,1,0,2019-11-03,11,8,,3,12,530000,532900,4900
274946473,yellowmanca,1,0,2040-01-01,0,7,,0,7,0,100,1184
468292159,LIAR阿茶,1,19,2002-08-23,0,8,,3,20,440000,440100,6962
134541160,枫丿叶_uuf1,1,24,1997-03-02,0,7,,0,14,320000,320300,2190
1352843136,淡墨-雅香,2,15,2006-09-12,0,4,,0,5,320000,321100,160
479038738,火星小米三,1,0,2040-01-01,0,6,,0,24,650000,650100,989
586868346,我爱月亮就够了,1,21,2000-09-08,0,7,,0,3,500000,500101,2006
1390956061,东方月初爱苏苏,0,0,2040-01-01,0,3,,0,4,430000,430100,129
254490821,歧芍,2,24,1997-02-04,0,9,不识南墙枉少年 ,43,49,520000,520300,12980
561517377,让我再睡五分钟_a,2,20,2001-10-13,0,7,,0,8,440000,441600,1804
115351566,酷酷的风暴之灵,1,0,2040-01-01,0,8,温良恭俭让,15,23,0,100,5660
502381294,引踏,2,21,2000-11-16,11,7,止于唇齿 掩于岁月,0,103,430000,430600,2972
75354183,Sgr柯柯,1,13,2008-12-12,11,8,The light of that moment,0,22,110000,110101,5512
121942862,怼人之王,1,0,2020-01-02,0,8,,2,3,810000,810100,4589
101208097,蔡蔡的理想,1,0,2040-01-01,10,8,全世界最不著名作曲家 游戏音效 音乐家 谭盾 斯特拉文斯基 柴可夫斯基 John honner 霍华德 肖 约翰威廉姆斯 均与我无关 没错 均与我无关 没有师从谭盾老师作曲 没有世界巡回演出 作品没有被大部分群众所接受 这就是 我 嘻嘻 ,39,31,0,100,7803
1390441489,落小木_,2,0,2040-01-01,0,5,,1,7,350000,350400,360
79922220,这音乐有毒,1,31,1990-01-16,11,8,,3,18,440000,440100,3557
268301722,-睡前别吃太饱,2,0,2040-01-01,0,8,永远年轻 永远热泪盈眶 ,3,14,0,100,4410
98362874,吴1717,2,0,2040-01-01,0,7,You don t know me,2,6,370000,370200,2341
106431029,三七feng,0,0,2040-01-01,0,8,Which I will ,1,12,430000,430100,3470
247782492,回忆是路过我耳朵的忧伤,1,23,1998-08-30,11,8,,2,17,440000,441900,6545
1384321631,俊俊JUN2018,2,0,2040-01-01,0,6,,0,7,420000,421000,459
377820633,石头哥啊,1,27,1994-01-01,0,7,,3,5,420000,420100,2051
360965700,七煞大大,1,0,2040-01-01,11,8,,5,39,440000,440500,3920
267767424,kpppa,1,0,2040-01-01,0,6,,0,1,440000,440300,417
467669181,Unkmown,2,0,2040-01-01,0,7,Nothing but pleasure ,161,17,0,100,1536
306632907,c132-Rick_Sanchez,1,0,2040-01-01,0,8,这个懒猪很懒 一句话没有留下  ,3,28,0,100,7164
116094332,风葬c,1,21,2000-08-18,11,9,我看得见 但不会逃避 既然选择成为什么人 就勇敢去面对  要学会释怀哦,44,93,500000,500118,10571
356309658,LKYG8,1,0,2040-01-01,11,7,,0,35,140000,141000,1390
1944188,李骥Sherlock,1,31,1990-07-29,11,8,爱自由 ,17,11,310000,310101,5059
346386993,月亮上的鼓fun,1,0,2040-01-01,11,8,,2,32,350000,350100,3159
568061937,哎咩叠,1,0,2040-01-01,11,7,,0,4,450000,451300,1192
97896400,Randy_96,1,24,1997-12-12,10,9,我的化学罗曼史,2,34,130000,131100,13686
455988874,太古里纳,1,0,2040-01-01,11,8,,1,11,450000,450100,7684
393509329,是雯雯呐_,2,0,2040-01-01,0,7,,0,8,340000,341800,1132
338245115,黄黄黄婷一婷,2,0,2040-01-01,0,9,LOOK AT ME NOW ,4,49,430000,430600,11877
430168628,黄继伟0624,1,31,1990-06-24,0,7,,0,14,500000,500230,1579
70882410,5ean1024,1,0,2040-01-01,0,7,,0,14,1000000,1000700,2016
285769313,浙江石头人,1,23,1998-08-05,11,8,这个人太懒了 什么都没有留下 ,4,79,500000,500101,5395
63256531,Craftsman-Lee,1,0,2040-01-01,0,9,预见自己 ,2,101,0,100,10610
270685248,原来是彤哥,2,30,1991-06-01,11,7,原来是彤哥,0,25,370000,370100,2016
100388119,不行报警ba,1,0,2040-01-01,11,9,,2,36,0,100,8510
247760082,我不是阿伟吧,1,27,1994-01-23,11,8,2021 继续,0,70,310000,310101,4238
305058735,李大圣Lisa,1,31,1990-12-25,0,8,走好自己的路 疼你所爱的人,20,8,370000,370200,4927
342212124,六神的网易云,1,25,1996-12-06,11,8,你好呀,5,26,440000,440100,5908
309444257,giiivemelove,1,26,1995-02-05,11,10,梦里不知身是客 一晌贪欢,7,68,420000,420100,20908
105598707,冰封紫忆,1,27,1994-02-15,11,9,相濡以沫 不如相忘于江湖 ,3,7,340000,340600,8840
118761815,唯彩童,1,22,1999-09-16,0,9,,6,15,500000,500101,14422
102191937,AuroraMartinez,2,21,2000-04-29,10,9,No sleep to dream,13,144,1000000,1005300,10675
433327944,猪花花的牛犇犇,1,24,1997-08-22,0,7,最是人间留不住 朱颜辞镜花辞树 ,6,33,520000,522400,2323
480666247,就此常常一直总是放鸽子的十二,0,17,2004-04-28,11,8,倒数十二秒后深呼吸 会想到什么,10,71,320000,321300,5687
1291927156,mm171123,2,0,2040-01-01,0,8,,0,3,0,100,4053
72122889,千叶竹下,1,26,1995-01-01,0,8,不听音乐的人是坏人 ,78,13,340000,340100,3055
436119880,Presence丶_,0,31,1990-01-01,11,8,你瞒我瞒,0,20,500000,500101,5967
65591669,洋葱骑士o,2,27,1994-11-04,11,8,,45,19,420000,420100,5129
1390350270,Ricky阿欢,0,0,2040-01-01,0,7,,3,58,310000,310101,1712
528138511,777wecan,0,0,2040-01-01,11,7,,0,1,410000,411300,1988
88472390,亦又何如,1,0,2040-01-01,0,8,愿时光能缓 愿故人不散愿你惦念的人能和你道晚安愿你独闯的日子里不觉得孤单,5,20,0,100,3059
276196293,YOYOkio,2,0,2040-01-01,11,8,,1,6,330000,330100,4598
572368109,芋圆芋圆芋圆西米露,2,0,2040-01-01,0,8,不可结缘 徒增伤悲 ,0,17,0,100,3557
507105893,MetLifelKen,0,0,2040-01-01,10,6,,0,13,410000,410700,649
300166330,我是你远方孤独的鬼,1,27,1994-12-24,0,9,你把性格交给星座 把努力交给鸡汤 把考试交给鲤鱼 然后对自己说 听过许多道理 但依然过不好这一生  ,178,96,440000,442000,13485
1288258134,纯净沉思-,1,0,2040-01-01,11,7,,0,12,460000,469002,1737
390977311,Ustinian-26,0,0,2040-01-01,0,8,,62,39,0,100,6756
403071876,761假梦,1,20,2001-06-01,11,8,喜欢打游戏喜欢唱歌的憨憨 ,0,86,610000,610100,6059
9843146,JeekWong,1,0,2040-01-01,0,10,玻璃晴朗 橘子辉煌,13,76,0,100,21328
1363142557,沛凝她舅,1,0,2040-01-01,11,9,,3,18,410000,410100,15308
262726232,hulimiao,0,0,2040-01-01,0,9,hulimiao,0,3,320000,320100,11733
614058750,何患得失-_-,1,20,2001-07-03,0,7,这个世界不是很好 这个世界会好的 ,14,25,620000,620500,2481
118493084,昵辰,1,0,2040-01-01,0,7,To know me  ,1,9,420000,421000,2142
290275696,灵灵不太灵,2,0,2040-01-01,11,9,单细胞分裂型人格 热衷研究操纵梦境,14,245,410000,410100,12480
372815722,叶尔Dr,2,31,1990-01-01,0,8,大爱网易 网易能火,11,41,410000,410800,3565
569390595,小陈--老师,2,0,2040-01-01,0,8,,1,18,210000,210100,4401
607199440,相当_暴躁,2,0,2040-01-01,0,8,相对独立又相互依赖,50,23,0,100,4427
283682739,网易是鸹貔,1,21,2000-01-01,11,9,,0,27,440000,440300,13797
1326852684,Luv丶Faye,1,0,2040-01-01,0,7,,2,41,330000,330700,1085
1347143004,我准备的自信过期了,1,0,2040-01-01,11,8, serre moi ,1,25,0,100,6256
590439972,我要睡觉了h,1,0,2040-01-01,0,7,,0,8,0,100,1073
335721143,最初的掩飾,1,0,2040-01-01,0,9, いつかいつかと ,2,42,0,100,8291
338559213,哥哥你不行,2,22,1999-01-18,0,9,,0,4,1000000,1002500,16061
1372860231,孑潇i,1,17,2004-02-12,11,8,,0,25,340000,341600,3892
591866698,沙砾之星,2,22,1999-09-07,0,8,风陵渡口初相遇 一遇杨过误终身,0,38,530000,530600,3575
249902723,说话超慢的睡不醒少年,1,0,2040-01-01,0,7,说话超慢的睡不醒少年 ,0,3,410000,410300,2342
132201661,hahavero,2,25,1996-05-05,0,7,,33,10,330000,330300,2732
111495981,HanFia__,1,19,2002-08-06,0,8,你总是盘旋在我脑海里面 ,2,38,510000,510100,3925
1296324990,云村三好市民,2,15,2005-12-29,11,8,,0,39,320000,321000,4218
590860977,Bean-bag,1,30,1991-01-01,0,7,你走我不送 你来无论多大风雨我都去接你 ,31,7,610000,610100,1330
418427130,金崟殿,2,0,2040-01-01,0,7,gre of,45,197,0,100,1341
442504606,陈mmmmc,2,26,1995-04-23,0,7,弃捐勿复道 努力加餐饭 ,5,8,440000,445100,2405
436746400,一打燚龘,1,19,2002-12-18,0,8,,31,64,330000,330300,5229
1362385133,华莲a阿,2,0,2040-01-01,0,6,,3,57,440000,440400,650
99440320,老袁爱笑,2,0,2040-01-01,11,7,等到我的青春剥落的时候 你还爱我 ,0,8,440000,440600,2828
120303543,xmywz,1,26,1995-01-05,0,7,sugar,0,18,430000,430100,2783
352100382,太宰-桑,1,0,2040-01-01,0,6,,0,7,1000000,1005500,709
1367882440,林彦俊的Evanism-,2,0,2040-01-01,0,3,,0,16,410000,411300,77
130761477,多伦多不相信眼泪,1,25,1996-12-13,0,7,梦醒时见你 ,7,67,330000,330100,2359
413431274,黄桑yellow,1,20,2001-06-09,0,8,八嘎     雅鹿,7,56,130000,130400,5147
77263011,YiJia____,2,0,2040-01-01,0,8,开心最重要 ♡,67,122,0,100,4015
403785438,阿熊横扫天下,0,18,2003-10-26,0,7,无所事事 请各位脑补一下6年归零的感觉,0,7,330000,330700,1138
299432212,越前龙马的猫,2,22,1999-12-10,11,7,,5,5,340000,340100,1273
391015248,呀_子龙哥哥,1,21,2000-07-02,11,7, 梦想这东西和经典一样 永远不会因为时间而褪色 反而显得更加珍贵 ,1,21,440000,440300,2899
31283750,长安乱阿,1,0,2040-01-01,0,9,应许之地,47,137,0,100,10385
112119735,skghirt,1,24,1997-02-27,11,10,古典 电音 说唱 粤语歌 翻唱 remix music loverrrrr,137,157,320000,320100,26166
544440486,风起时雨飘落,1,31,1990-12-08,0,10,总在盼望 总在失望 日子还不都这样 ,8,10,1000000,1001300,31568
559175435,林秋朝阳,0,0,2040-01-01,0,6,,0,24,330000,330100,723
332342824,廿年廿月,1,24,1997-01-25,11,9,lol,3,11,330000,330100,12292
586045221,潜在她眼中的深海里,1,0,2040-01-01,0,8,Life ain t as easy as the sayings go,5,15,0,100,4673
